[ 1.01375823e+03 -1.15887578e+02  6.03454467e+00 -2.28194981e-01  7.36704455e-03 -1.54059483e-04  1.34654485e-06]
[ 1.01459687e+03 -1.15949345e+02  6.03437512e+00 -2.28821122e-01  7.44990392e-03 -1.57233905e-04  1.38519095e-06]
[ 1.01360913e+03 -1.15708636e+02  5.99368239e+00 -2.25336206e-01  7.31494048e-03 -1.55034824e-04  1.37444795e-06]
[ 1.01249336e+03 -1.15391171e+02  5.99205455e+00 -2.26543533e-01  7.34288598e-03 -1.54307880e-04  1.35454470e-06]
[ 1.01306206e+03 -1.15347474e+02  5.96429636e+00 -2.24887411e-01  7.35914032e-03 -1.57156496e-04  1.40169923e-06]
[ 1.01218128e+03 -1.15092325e+02  5.89905482e+00 -2.16207340e-01  6.84134262e-03 -1.43250438e-04  1.26344203e-06]
[ 1.01270986e+03 -1.15017422e+02  5.79639266e+00 -2.04880134e-01  6.38064510e-03 -1.35645881e-04  1.22498406e-06]
[ 1.01300650e+03 -1.15307594e+02  5.87004175e+00 -2.12155021e-01  6.72393830e-03 -1.43479702e-04  1.29461246e-06]
[ 1.01410698e+03 -1.15614561e+02  5.92721785e+00 -2.17625642e-01  6.97704889e-03 -1.49126891e-04  1.34419247e-06]
[ 1.01328723e+03 -1.16044255e+02  6.09883994e+00 -2.38589083e-01  8.11239710e-03 -1.77471030e-04  1.61095661e-06]
[ 1.01322816e+03 -1.15981659e+02  6.09977871e+00 -2.38904579e-01  8.10712237e-03 -1.76611437e-04  1.59623549e-06]
[ 1.01353320e+03 -1.16143047e+02  6.14230062e+00 -2.42263265e-01  8.20027879e-03 -1.77027935e-04  1.58470174e-06]
